"session_id","sex","age","citizenship","referrer","us_or_international","lab_or_online","anchor","everest_feet","everest_meters","anchor_contrast"
2401463,"f",19,"BR","brasilia","International","In-lab","low",3280.8,1000,-0.5
2401464,"m",24,"BR","brasilia","International","In-lab","high",29527.2,9000,0.5
2401466,"f",19,"BR","brasilia","International","In-lab","low",6561.6,2000,-0.5
2401472,"m",21,"BR","brasilia","International","In-lab","low",16404,5000,-0.5
2401476,"f",19,"BR","brasilia","International","In-lab","high",39369.6,12000,0.5
2401485,"f",22,"BR","brasilia","International","In-lab","high",45471.888,13860,0.5
2401489,"f",20,"BR","brasilia","International","In-lab","low",3936.96,1200,-0.5
2401490,"m",22,"BR","brasilia","International","In-lab","high",29199.12,8900,0.5
2401495,"f",22,"BR","brasilia","International","In-lab","high",29527.2,9000,0.5
2406260,"m",21,"BR","brasilia","International","In-lab","high",44290.8,13500,0.5
2422422,"f",18,"BR","brasilia","International","In-lab","high",26246.4,8000,0.5
2422639,"m",19,"BR","brasilia","International","In-lab","low",13123.2,4000,-0.5
2426482,"m",21,"BR","brasilia","International","In-lab","high",26246.4,8000,0.5
2428937,"f",26,"BR","brasilia","International","In-lab","low",5905.44,1800,-0.5
2429105,"f",20,"BR","brasilia","International","In-lab","high",39369.6,12000,0.5
2429257,"f",19,"BR","brasilia","International","In-lab","low",8202,2500,-0.5
2442313,"m",22,"BR","brasilia","International","In-lab","high",45357.06,13825,0.5
2442618,"f",19,"BR","brasilia","International","In-lab","low",3280.8,1000,-0.5
2442751,"f",23,"BR","brasilia","International","In-lab","high",42650.4,13000,0.5
2445814,"f",20,"BR","brasilia","International","In-lab","low",26246.4,8000,-0.5
2446096,"m",18,"BR","brasilia","International","In-lab","low",2673.852,815,-0.5
2451802,"m",19,"BR","brasilia","International","In-lab","high",32808,10000,0.5
2452326,"m",19,"BR","brasilia","International","In-lab","high",29527.2,9000,0.5
2453867,"m",27,"BR","brasilia","International","In-lab","low",11482.8,3500,-0.5
2457082,"m",19,"BR","brasilia","International","In-lab","low",2066.904,630,-0.5
2457236,"m",19,"BR","brasilia","International","In-lab","high",26246.4,8000,0.5
2458747,"f",20,"BR","brasilia","International","In-lab","low",2952.72,900,-0.5
2458796,"m",19,"BR","brasilia","International","In-lab","high",29172.8736,8892,0.5
2458919,"f",24,"BR","brasilia","International","In-lab","low",3280.8,1000,-0.5
2462035,"f",21,"BR","brasilia","International","In-lab","high",32808,10000,0.5
2465905,"m",19,"BR","brasilia","International","In-lab","low",4265.04,1300,-0.5
2466041,"m",21,"BR","brasilia","International","In-lab","low",3280.8,1000,-0.5
2466133,"m",22,"BR","brasilia","International","In-lab","high",42322.32,12900,0.5
2467639,"f",20,"BR","brasilia","International","In-lab","low",3280.8,1000,-0.5
2467777,"m",23,"BR","brasilia","International","In-lab","low",16404,5000,-0.5
2467949,"f",19,"BR","brasilia","International","In-lab","low",19684.8,6000,-0.5
2468111,"f",23,"AO","brasilia","International","In-lab","low",2624.64,800,-0.5
2469887,"f",21,"BR","brasilia","International","In-lab","low",5905.44,1800,-0.5
2470010,"f",22,"BR","brasilia","International","In-lab","high",16404,5000,0.5
2470140,"f",19,"BR","brasilia","International","In-lab","low",13123.2,4000,-0.5
2471873,"f",18,"BR","brasilia","International","In-lab","high",39041.52,11900,0.5
2477425,"m",20,"BR","brasilia","International","In-lab","low",26246.4,8000,-0.5
2477613,"f",19,"BR","brasilia","International","In-lab","low",2296.56,700,-0.5
2477757,"m",23,"BR","brasilia","International","In-lab","low",2624.64,800,-0.5
2477847,"f",20,"BR","brasilia","International","In-lab","high",39369.6,12000,0.5
2479434,"m",17,"BR","brasilia","International","In-lab","low",29448.4608,8976,-0.5
2479598,"m",18,"BR","brasilia","International","In-lab","low",28871.04,8800,-0.5
2479774,"f",18,"BR","brasilia","International","In-lab","low",8021.556,2445,-0.5
2430718,"m",22,"CZ","charles","International","In-lab","low",28871.04,8800,-0.5
2430722,"f",21,"CZ","charles","International","In-lab","high",26574.48,8100,0.5
2430809,"f",23,"SK","charles","International","In-lab","high",27230.64,8300,0.5
2430815,"f",20,"CZ","charles","International","In-lab","high",29028.5184,8848,0.5
2430817,"f",19,"CZ","charles","International","In-lab","low",27886.8,8500,-0.5
2458124,"f",20,"CZ","charles","International","In-lab","high",28542.96,8700,0.5
2458125,"f",21,"CZ","charles","International","In-lab","high",43962.72,13400,0.5
2458127,"m",22,"CZ","charles","US","In-lab","low",27886.8,NA,-0.5
2442711,"f",20,"US","ithaca","US","In-lab","low",5000,NA,-0.5
2442718,"m",19,"US","ithaca","US","In-lab","low",3000,NA,-0.5
2442903,"f",18,"US","ithaca","US","In-lab","low",3000,NA,-0.5
2442906,"f",19,"US","ithaca","US","In-lab","low",3500,NA,-0.5
2442910,"f",18,"US","ithaca","US","In-lab","high",40000,NA,0.5
2443194,"f",18,"US","ithaca","US","In-lab","high",43000,NA,0.5
2443210,"f",21,"US","ithaca","US","In-lab","low",10000,NA,-0.5
2443215,"f",18,"US","ithaca","US","In-lab","high",38485,NA,0.5
2443407,"f",20,"CA","ithaca","US","In-lab","high",35000,NA,0.5
2443419,"f",19,"US","ithaca","US","In-lab","low",3500,NA,-0.5
2451795,"f",18,"US","ithaca","US","In-lab","low",3000,NA,-0.5
2451900,"f",18,"US","ithaca","US","In-lab","low",20000,NA,-0.5
2451905,"f",20,"GY","ithaca","US","In-lab","low",2200,NA,-0.5
2451911,"f",20,"US","ithaca","US","In-lab","high",33000,NA,0.5
2451919,"f",19,"US","ithaca","US","In-lab","low",5000,NA,-0.5
2451925,"f",18,"US","ithaca","US","In-lab","high",45000,NA,0.5
2451932,"f",18,"US","ithaca","US","In-lab","low",3250,NA,-0.5
2453957,"m",18,"US","ithaca","US","In-lab","high",40000,NA,0.5
2453961,"f",18,"US","ithaca","US","In-lab","low",2435,NA,-0.5
2454068,"f",18,"US","ithaca","US","In-lab","low",8000,NA,-0.5
2454073,"f",19,"US","ithaca","US","In-lab","low",3500,NA,-0.5
2454074,"m",18,"US","ithaca","US","In-lab","low",2500,NA,-0.5
2454076,"f",20,"US","ithaca","US","In-lab","high",45000,NA,0.5
2454080,"m",19,"US","ithaca","US","In-lab","low",3300,NA,-0.5
2454084,"f",20,"US","ithaca","US","In-lab","high",43786,NA,0.5
2454086,"f",18,"US","ithaca","US","In-lab","low",2500,NA,-0.5
2454088,"m",18,"US","ithaca","US","In-lab","low",7000,NA,-0.5
2454090,"f",19,"US","ithaca","US","In-lab","high",42000,NA,0.5
2454460,"f",19,"US","ithaca","US","In-lab","high",30000,NA,0.5
2454461,"f",19,"US","ithaca","US","In-lab","low",3000,NA,-0.5
2454494,"m",18,"US","ithaca","US","In-lab","low",5000,NA,-0.5
2454600,"f",18,"US","ithaca","US","In-lab","low",5500,NA,-0.5
2456447,"f",18,"US","ithaca","US","In-lab","low",6000,NA,-0.5
2456450,"f",18,"US","ithaca","US","In-lab","high",40000,NA,0.5
2456456,"f",18,"US","ithaca","US","In-lab","high",30000,NA,0.5
2456459,"f",18,"US","ithaca","US","In-lab","high",40000,NA,0.5
2456460,"f",18,"US","ithaca","US","In-lab","high",39000,NA,0.5
2456463,"f",18,"US","ithaca","US","In-lab","low",6000,NA,-0.5
2456625,"f",17,"US","ithaca","US","In-lab","low",40000,NA,-0.5
2456933,"f",18,"US","ithaca","US","In-lab","low",3000,NA,-0.5
2456936,"f",18,"US","ithaca","US","In-lab","low",3000,NA,-0.5
2465685,"f",18,"US","ithaca","US","In-lab","high",25000,NA,0.5
2465686,"f",18,"US","ithaca","US","In-lab","high",45000,NA,0.5
2465689,"f",18,"US","ithaca","US","In-lab","low",3500,NA,-0.5
2465799,"f",18,"US","ithaca","US","In-lab","high",35000,NA,0.5
2465800,"f",18,"US","ithaca","US","In-lab","high",35500,NA,0.5
2465802,"f",20,"US","ithaca","US","In-lab","low",5000,NA,-0.5
2465803,"f",18,"US","ithaca","US","In-lab","low",2224,NA,-0.5
2465808,"m",20,"US","ithaca","US","In-lab","high",42000,NA,0.5
2467455,"f",18,"US","ithaca","US","In-lab","high",40000,NA,0.5
2467466,"f",19,"US","ithaca","US","In-lab","high",40000,NA,0.5
2467471,"f",18,"US","ithaca","US","In-lab","high",35000,NA,0.5
2467477,"f",19,"US","ithaca","US","In-lab","low",9000,NA,-0.5
2467622,"m",18,"US","ithaca","US","In-lab","high",43000,NA,0.5
2467625,"f",19,"US","ithaca","US","In-lab","low",4500,NA,-0.5
2467630,"f",18,"US","ithaca","US","In-lab","high",39000,NA,0.5
2467632,"m",18,"US","ithaca","US","In-lab","high",30000,NA,0.5
2467930,"m",18,"US","ithaca","US","In-lab","high",26580,NA,0.5
2467935,"f",19,"US","ithaca","US","In-lab","high",43000,NA,0.5
2467937,"m",21,"US","ithaca","US","In-lab","high",39000,NA,0.5
2468023,"f",21,"US","ithaca","US","In-lab","high",45000,NA,0.5
2468025,"m",20,"US","ithaca","US","In-lab","high",30000,NA,0.5
2469961,"m",20,"US","ithaca","US","In-lab","low",10000,NA,-0.5
2470134,"m",18,"US","ithaca","US","In-lab","high",10000,NA,0.5
2470138,"f",19,"US","ithaca","US","In-lab","low",5867,NA,-0.5
2470304,"f",20,"US","ithaca","US","In-lab","low",15000,NA,-0.5
2470307,"m",18,"US","ithaca","US","In-lab","high",27000,NA,0.5
2470311,"f",18,"US","ithaca","US","In-lab","high",30000,NA,0.5
2477383,"f",21,"US","ithaca","US","In-lab","high",23000,NA,0.5
2477497,"f",18,"US","ithaca","US","In-lab","low",5000,NA,-0.5
2477501,"f",18,"US","ithaca","US","In-lab","low",7000,NA,-0.5
2477502,"f",18,"US","ithaca","US","In-lab","low",5000,NA,-0.5
2477504,"m",18,"US","ithaca","US","In-lab","low",7000,NA,-0.5
2477506,"f",19,"US","ithaca","US","In-lab","high",30000,NA,0.5
2477509,"f",18,"US","ithaca","US","In-lab","high",45000,NA,0.5
2477515,"f",20,"US","ithaca","US","In-lab","high",32000,NA,0.5
2477516,"f",18,"US","ithaca","US","In-lab","high",45000,NA,0.5
2419021,"f",20,"US","jmu","US","Online","low",5000,NA,-0.5
2419039,"f",18,"US","jmu","US","Online","low",6000,NA,-0.5
2419118,"m",20,"US","jmu","US","Online","low",3600,NA,-0.5
2419123,"f",18,"US","jmu","US","Online","high",30000,NA,0.5
2419126,"f",18,"US","jmu","US","Online","high",21569,NA,0.5
2419136,"f",18,"US","jmu","US","Online","high",40000,NA,0.5
2419214,"f",18,"US","jmu","US","Online","low",2500,NA,-0.5
2419308,"f",18,"US","jmu","US","Online","low",10000,NA,-0.5
2419313,"f",19,"US","jmu","US","Online","low",3000,NA,-0.5
2419389,"m",18,"US","jmu","US","Online","high",21000,NA,0.5
2419391,"f",20,"US","jmu","US","Online","low",2500,NA,-0.5
2419455,"f",20,"US","jmu","US","Online","low",28000,NA,-0.5
2419461,"f",22,"US","jmu","US","Online","low",4100,NA,-0.5
2419527,"f",18,"US","jmu","US","Online","high",42000,NA,0.5
2419674,"f",18,"US","jmu","US","Online","high",30000,NA,0.5
2419767,"f",18,"US","jmu","US","Online","high",36000,NA,0.5
2419793,"f",19,"US","jmu","US","Online","low",4000,NA,-0.5
2419826,"f",18,"US","jmu","US","Online","high",40000,NA,0.5
2419847,"f",18,"US","jmu","US","Online","low",5000,NA,-0.5
2419887,"f",19,"US","jmu","US","Online","high",3500,NA,0.5
2419919,"f",18,"US","jmu","US","Online","low",29000,NA,-0.5
2420020,"f",19,"US","jmu","US","Online","low",3600,NA,-0.5
2420156,"f",18,"US","jmu","US","Online","low",29000,NA,-0.5
2420182,"f",18,"US","jmu","US","Online","high",41500,NA,0.5
2420247,"f",19,"US","jmu","US","Online","low",10000,NA,-0.5
2420251,"f",21,"US","jmu","US","Online","low",16000,NA,-0.5
2420252,"f",19,"US","jmu","US","Online","low",5035,NA,-0.5
2420253,"f",18,"US","jmu","US","Online","high",45000,NA,0.5
2420255,"f",19,"US","jmu","US","Online","low",4000,NA,-0.5
2420262,"m",20,"US","jmu","US","Online","high",31000,NA,0.5
2420266,"f",18,"US","jmu","US","Online","low",10000,NA,-0.5
2420272,"f",19,"US","jmu","US","Online","high",45000,NA,0.5
2420273,"f",19,"US","jmu","US","Online","low",3100,NA,-0.5
2420275,"m",20,"US","jmu","US","Online","high",29000,NA,0.5
2420276,"f",18,"US","jmu","US","Online","high",38000,NA,0.5
2420281,"f",18,"US","jmu","US","Online","low",8076,NA,-0.5
2420284,"f",19,"US","jmu","US","Online","high",34500,NA,0.5
2420294,"f",22,"US","jmu","US","Online","high",4500,NA,0.5
2420305,"f",19,"US","jmu","US","Online","high",5000,NA,0.5
2420311,"f",20,"US","jmu","US","Online","high",30000,NA,0.5
2420319,"f",19,"US","jmu","US","Online","low",15000,NA,-0.5
2420326,"m",19,"US","jmu","US","Online","high",44587,NA,0.5
2420327,"f",18,"US","jmu","US","Online","low",2500,NA,-0.5
2420330,"m",18,"US","jmu","US","Online","low",29000,NA,-0.5
2420338,"f",19,"US","jmu","US","Online","high",35000,NA,0.5
2420341,"f",18,"US","jmu","US","Online","high",38000,NA,0.5
2420345,"m",18,"AU","jmu","US","Online","high",20000,NA,0.5
2420359,"f",19,"US","jmu","US","Online","low",4000,NA,-0.5
2420361,"f",19,"US","jmu","US","Online","high",35500,NA,0.5
2420382,"f",18,"US","jmu","US","Online","low",3000,NA,-0.5
2420386,"m",19,"US","jmu","US","Online","low",12543,NA,-0.5
2420405,"f",18,"US","jmu","US","Online","low",5000,NA,-0.5
2420433,"f",18,"US","jmu","US","Online","high",40000,NA,0.5
2420456,"f",19,"US","jmu","US","Online","low",40000,NA,-0.5
2420459,"f",18,"US","jmu","US","Online","low",5000,NA,-0.5
2420463,"f",18,"US","jmu","US","Online","low",14000,NA,-0.5
2420467,"f",19,"US","jmu","US","Online","low",4500,NA,-0.5
2420471,"f",19,"US","jmu","US","Online","high",40000,NA,0.5
2420481,"f",32,"US","jmu","US","Online","low",5000,NA,-0.5
2420482,"m",18,"US","jmu","US","Online","high",38000,NA,0.5
2420485,"f",19,"US","jmu","US","Online","low",20000,NA,-0.5
2420514,"f",18,"US","jmu","US","Online","low",6000,NA,-0.5
2420517,"f",18,"US","jmu","US","Online","high",40000,NA,0.5
2420518,"f",18,"US","jmu","US","Online","high",42000,NA,0.5
2420529,"m",20,"US","jmu","US","Online","high",28000,NA,0.5
2420534,"f",18,"US","jmu","US","Online","high",40000,NA,0.5
2420543,"f",18,"US","jmu","US","Online","high",37500,NA,0.5
2420572,"f",19,"US","jmu","US","Online","low",5000,NA,-0.5
2420580,"f",18,"US","jmu","US","Online","low",10000,NA,-0.5
2420605,"f",19,"US","jmu","US","Online","low",8000,NA,-0.5
2420622,"m",18,"US","jmu","US","Online","low",4000,NA,-0.5
2420646,"f",18,"US","jmu","US","Online","high",38000,NA,0.5
2420663,"f",18,"US","jmu","US","Online","high",30000,NA,0.5
2420692,"f",21,"US","jmu","US","Online","low",2001,NA,-0.5
2420694,"f",18,"US","jmu","US","Online","low",4805,NA,-0.5
2420717,"f",22,"US","jmu","US","Online","high",29000,NA,0.5
2420719,"f",18,"US","jmu","US","Online","high",30000,NA,0.5
2420736,"m",17,"US","jmu","US","Online","low",3862,NA,-0.5
2420748,"f",21,"US","jmu","US","Online","high",43000,NA,0.5
2420770,"f",19,"US","jmu","US","Online","high",44000,NA,0.5
2420808,"m",19,"US","jmu","US","Online","low",2600,NA,-0.5
2420912,"f",20,"US","jmu","US","Online","low",3000,NA,-0.5
2420960,"m",21,"US","jmu","US","Online","high",40000,NA,0.5
2421044,"f",18,"US","jmu","US","Online","high",32000,NA,0.5
2421241,"f",18,"US","jmu","US","Online","high",43000,NA,0.5
2421264,"f",19,"US","jmu","US","Online","low",5000,NA,-0.5
2421291,"m",18,"US","jmu","US","Online","low",21000,NA,-0.5
2421306,"m",19,"US","jmu","US","Online","low",35000,NA,-0.5
2421347,"f",19,"US","jmu","US","Online","low",14000,NA,-0.5
2421365,"f",18,"US","jmu","US","Online","high",40000,NA,0.5
2421370,"f",19,"US","jmu","US","Online","high",43500,NA,0.5
2421397,"f",18,"US","jmu","US","Online","high",43000,NA,0.5
2421398,"f",18,"US","jmu","US","Online","low",15000,NA,-0.5
2421442,"f",18,"US","jmu","US","Online","high",20000,NA,0.5
2421474,"m",19,"US","jmu","US","Online","low",3500,NA,-0.5
2421517,"f",19,"US","jmu","US","Online","low",5000,NA,-0.5
2421546,"f",18,"US","jmu","US","Online","low",5600,NA,-0.5
2421559,"m",19,"US","jmu","US","Online","high",40000,NA,0.5
2421598,"f",18,"US","jmu","US","Online","low",20000,NA,-0.5
2421613,"f",21,"US","jmu","US","Online","low",20000,NA,-0.5
2421615,"f",20,"US","jmu","US","Online","low",14000,NA,-0.5
2421620,"f",18,"US","jmu","US","Online","low",15000,NA,-0.5
2421628,"m",18,"US","jmu","US","Online","low",3278,NA,-0.5
2421629,"f",18,"US","jmu","US","Online","high",20000,NA,0.5
2421666,"f",18,"US","jmu","US","Online","low",5000,NA,-0.5
2421670,"f",19,"US","jmu","US","Online","high",32000,NA,0.5
2421683,"f",20,"US","jmu","US","Online","low",2500,NA,-0.5
2421900,"f",19,"US","jmu","US","Online","low",8000,NA,-0.5
2422010,"f",18,"US","jmu","US","Online","low",2500,NA,-0.5
2422167,"f",20,"US","jmu","US","Online","high",45000,NA,0.5
2422174,"m",21,"US","jmu","US","Online","low",5200,NA,-0.5
2422293,"f",18,"US","jmu","US","Online","low",3500,NA,-0.5
2422304,"m",20,"US","jmu","US","Online","high",30000,NA,0.5
2422352,"f",18,"US","jmu","US","Online","low",4000,NA,-0.5
2422524,"f",20,"US","jmu","US","Online","low",7000,NA,-0.5
2422707,"f",20,"US","jmu","US","Online","low",5280,NA,-0.5
2422949,"f",18,"US","jmu","US","Online","low",6000,NA,-0.5
2423009,"f",18,"US","jmu","US","Online","low",4900,NA,-0.5
2423284,"f",21,"US","jmu","US","Online","high",30000,NA,0.5
2423301,"f",19,"US","jmu","US","Online","high",26000,NA,0.5
2423308,"m",18,"US","jmu","US","Online","high",45000,NA,0.5
2423798,"f",18,"US","jmu","US","Online","low",4000,NA,-0.5
2424304,"m",20,"US","jmu","US","Online","low",5000,NA,-0.5
2424373,"m",19,"US","jmu","US","Online","low",3654.7,NA,-0.5
2424425,"f",18,"US","jmu","US","Online","low",14500,NA,-0.5
2424846,"f",18,"US","jmu","US","Online","low",6000,NA,-0.5
2425552,"f",18,"US","jmu","US","Online","low",20000,NA,-0.5
2426194,"f",18,"US","jmu","US","Online","high",44000,NA,0.5
2426851,"f",18,"US","jmu","US","Online","high",40000,NA,0.5
2426970,"f",21,"US","jmu","US","Online","low",4000,NA,-0.5
2427675,"f",19,"US","jmu","US","Online","high",45000,NA,0.5
2429267,"f",18,"US","jmu","US","Online","high",30000,NA,0.5
2429660,"f",21,"US","jmu","US","Online","high",44000,NA,0.5
2429997,"f",19,"US","jmu","US","Online","low",8000,NA,-0.5
2430879,"f",19,"US","jmu","US","Online","low",4000,NA,-0.5
2431381,"f",19,"US","jmu","US","Online","low",5000,NA,-0.5
2434157,"f",18,"US","jmu","US","Online","low",30000,NA,-0.5
2434515,"f",19,"US","jmu","US","Online","high",40000,NA,0.5
2440669,"f",19,"KR","jmu","US","Online","high",45000,NA,0.5
2445901,"f",18,"US","jmu","US","Online","high",44800,NA,0.5
2447549,"f",18,"US","jmu","US","Online","low",3000,NA,-0.5
2450238,"f",18,"US","jmu","US","Online","high",45250,NA,0.5
2450966,"f",19,"US","jmu","US","Online","low",10000,NA,-0.5
2453815,"f",21,"US","jmu","US","Online","high",32000,NA,0.5
2463538,"f",18,"US","jmu","US","Online","low",11000,NA,-0.5
2463674,"f",18,"US","jmu","US","Online","low",4500,NA,-0.5
2465194,"f",18,"US","jmu","US","Online","low",29028,NA,-0.5
2467975,"f",18,"US","jmu","US","Online","high",30000,NA,0.5
2468229,"m",19,"US","jmu","US","Online","high",23000,NA,0.5
2468476,"m",18,"US","jmu","US","Online","high",41500,NA,0.5
2468490,"f",19,"US","jmu","US","Online","low",20000,NA,-0.5
2474858,"f",19,"US","jmu","US","Online","low",3300,NA,-0.5
2476641,"f",19,"US","jmu","US","Online","low",2250,NA,-0.5
2483981,"f",19,"US","jmu","US","Online","high",40000,NA,0.5
2484442,"m",18,"US","jmu","US","Online","low",25000,NA,-0.5
2485645,"f",20,"US","jmu","US","Online","low",10000,NA,-0.5
